"Population","Cage","Sex","Time_Block","Marker","Mating_Status","Generations","Male_Prop_Mated","Female_Prop_Mated","Sex_Bias"
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
1,2,"Male","Day 3 Final","Red","Non-Mated",1,0.35593220338983,0.333333333333333,1.2
